file,folder,relpath,date,material,sample,zone,site,kind,rep,label,run,PL_WS2_peak_eV,PL_WS2_peak_nm,PL_WS2_Imax,PL_WS2_fwhm_meV,label_parsed,label_vs_fit_diff,Si_pos_raw,calib_shift,WS2_2LA_E2g_raw,WS2_2LA_E2g_cal,WS2_2LA_E2g_fwhm,WS2_2LA_E2g_height,WS2_A1g_raw,WS2_A1g_cal,WS2_A1g_fwhm,WS2_A1g_height,WS2_I2LA_over_IA1g,PL_MoS2_peak_eV,PL_MoS2_peak_nm,PL_MoS2_Imax,PL_MoS2_fwhm_meV,MoS2_E2g_raw,MoS2_E2g_cal,MoS2_E2g_fwhm,MoS2_E2g_height,MoS2_A1g_raw,MoS2_A1g_cal,MoS2_A1g_fwhm,MoS2_A1g_height,MoS2_delta,MoS2_layers_est,MoS2_A1g_over_Si
260224 MoS2 #1 Z1-2_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z1-2_PL.txt,260224,MoS2,1,Z1,2,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.93,642.505,4553.964,85.291,,,,,,,,,,,
260224 MoS2 #1 Z1-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z1-2_Raman.txt,260224,MoS2,1,Z1,2,Raman,1,,260224 MoS2 #1,,,,,,,518.607,2.093,,,,,,,,,,,,,,383.229,385.322,5.327,33.626,404.372,406.465,7.087,108.652,21.143,1-2L,0.066
260224 MoS2 #1 Z2-1_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z2-1_PL.txt,260224,MoS2,1,Z2,1,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.915,647.411,13501.7,78.841,,,,,,,,,,,
260224 MoS2 #1 Z2-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z2-1_Raman.txt,260224,MoS2,1,Z2,1,Raman,1,,260224 MoS2 #1,,,,,,,517.946,2.754,,,,,,,,,,,,,,382.202,384.955,7.104,66.115,403.376,406.129,8.817,249.058,21.174,1-2L,0.314
260224 MoS2 #1 Z2-2_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z2-2_PL.txt,260224,MoS2,1,Z2,2,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.915,647.601,24256.985,76.659,,,,,,,,,,,
260224 MoS2 #1 Z2-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z2-2_Raman.txt,260224,MoS2,1,Z2,2,Raman,1,,260224 MoS2 #1,,,,,,,518.843,1.857,,,,,,,,,,,,,,383.153,385.01,6.341,49.307,404.47,406.328,7.571,150.278,21.317,1-2L,0.177
260224 MoS2 #1 Z3-1_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z3-1_PL.txt,260224,MoS2,1,Z3,1,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.93,642.505,34280.72,82.887,,,,,,,,,,,
260224 MoS2 #1 Z3-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z3-1_Raman.txt,260224,MoS2,1,Z3,1,Raman,1,,260224 MoS2 #1,,,,,,,518.328,2.372,,,,,,,,,,,,,,382.503,384.875,7.815,73.47,404.29,406.662,6.94,231.969,21.788,2-3L,0.429
260224 MoS2 #1 Z3-2_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z3-2_PL.txt,260224,MoS2,1,Z3,2,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,642.131,57345.626,79.619,,,,,,,,,,,
260224 MoS2 #1 Z3-2_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z3-2_Raman.txt,260224,MoS2,1,Z3,2,Raman,1,,260224 MoS2 #1,,,,,,,518.026,2.674,,,,,,,,,,,,,,381.933,384.608,8.236,103.079,404.297,406.971,7.827,314.135,22.363,2-3L,0.428
260225 MoS2 #1 Z1-1_PL.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z1-1_PL.txt,260225,MoS2,1,Z1,1,PL,1,,260225 MoS2 #1,,,,,,,,,,,,,,,,,,1.931,641.944,424.905,101.546,,,,,,,,,,,
260225 MoS2 #1 Z1-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260225 MoS2 #1 Z1-1_Raman.txt,260225,MoS2,1,Z1,1,Raman,1,,260225 MoS2 #1,,,,,,,518.902,1.798,,,,,,,,,,,,,,384.132,385.931,2.712,10.769,404.459,406.258,7.363,31.199,20.327,1-2L,0.018
